el	es
data\el_es\el\20090401-0900-PLENARY-11-el_es_20090401-15-32-14_5.wav	data\el_es\es\20090401-0900-PLENARY-11-el_es_20090401-15-32-14_5.wav
data\el_es\el\20090401-0900-PLENARY-11-el_es_20090401-16-03-40_1.wav	data\el_es\es\20090401-0900-PLENARY-11-el_es_20090401-16-03-40_1.wav
data\el_es\el\20090401-0900-PLENARY-11-el_es_20090401-16-03-40_4.wav	data\el_es\es\20090401-0900-PLENARY-11-el_es_20090401-16-03-40_4.wav
data\el_es\el\20090401-0900-PLENARY-11-el_es_20090401-16-03-40_5.wav	data\el_es\es\20090401-0900-PLENARY-11-el_es_20090401-16-03-40_5.wav
data\el_es\el\20090401-0900-PLENARY-11-el_es_20090401-16-03-40_8.wav	data\el_es\es\20090401-0900-PLENARY-11-el_es_20090401-16-03-40_8.wav
data\el_es\el\20090401-0900-PLENARY-13-el_es_20090401-17-57-41_0.wav	data\el_es\es\20090401-0900-PLENARY-13-el_es_20090401-17-57-41_0.wav
data\el_es\el\20090401-0900-PLENARY-13-el_es_20090401-17-57-41_1.wav	data\el_es\es\20090401-0900-PLENARY-13-el_es_20090401-17-57-41_1.wav
data\el_es\el\20090401-0900-PLENARY-13-el_es_20090401-17-57-41_2.wav	data\el_es\es\20090401-0900-PLENARY-13-el_es_20090401-17-57-41_2.wav
data\el_es\el\20090401-0900-PLENARY-13-el_es_20090401-17-57-41_3.wav	data\el_es\es\20090401-0900-PLENARY-13-el_es_20090401-17-57-41_3.wav
data\el_es\el\20090401-0900-PLENARY-13-el_es_20090401-17-57-41_4.wav	data\el_es\es\20090401-0900-PLENARY-13-el_es_20090401-17-57-41_4.wav
data\el_es\el\20090401-0900-PLENARY-13-el_es_20090401-17-57-41_5.wav	data\el_es\es\20090401-0900-PLENARY-13-el_es_20090401-17-57-41_5.wav
data\el_es\el\20090401-0900-PLENARY-13-el_es_20090401-17-57-41_6.wav	data\el_es\es\20090401-0900-PLENARY-13-el_es_20090401-17-57-41_6.wav
data\el_es\el\20090401-0900-PLENARY-13-el_es_20090401-17-57-41_7.wav	data\el_es\es\20090401-0900-PLENARY-13-el_es_20090401-17-57-41_7.wav
data\el_es\el\20090401-0900-PLENARY-13-el_es_20090401-17-57-41_8.wav	data\el_es\es\20090401-0900-PLENARY-13-el_es_20090401-17-57-41_8.wav
data\el_es\el\20090401-0900-PLENARY-13-el_es_20090401-18-50-27_0.wav	data\el_es\es\20090401-0900-PLENARY-13-el_es_20090401-18-50-27_0.wav
data\el_es\el\20090401-0900-PLENARY-13-el_es_20090401-18-50-27_1.wav	data\el_es\es\20090401-0900-PLENARY-13-el_es_20090401-18-50-27_1.wav
data\el_es\el\20090401-0900-PLENARY-13-el_es_20090401-18-50-27_2.wav	data\el_es\es\20090401-0900-PLENARY-13-el_es_20090401-18-50-27_2.wav
data\el_es\el\20090401-0900-PLENARY-13-el_es_20090401-18-50-27_3.wav	data\el_es\es\20090401-0900-PLENARY-13-el_es_20090401-18-50-27_3.wav
data\el_es\el\20090401-0900-PLENARY-13-el_es_20090401-18-50-27_4.wav	data\el_es\es\20090401-0900-PLENARY-13-el_es_20090401-18-50-27_4.wav
data\el_es\el\20090401-0900-PLENARY-13-el_es_20090401-18-50-27_5.wav	data\el_es\es\20090401-0900-PLENARY-13-el_es_20090401-18-50-27_5.wav
data\el_es\el\20090401-0900-PLENARY-13-el_es_20090401-18-50-27_6.wav	data\el_es\es\20090401-0900-PLENARY-13-el_es_20090401-18-50-27_6.wav
data\el_es\el\20090401-0900-PLENARY-13-el_es_20090401-18-50-27_7.wav	data\el_es\es\20090401-0900-PLENARY-13-el_es_20090401-18-50-27_7.wav
data\el_es\el\20090401-0900-PLENARY-13-el_es_20090401-18-50-27_8.wav	data\el_es\es\20090401-0900-PLENARY-13-el_es_20090401-18-50-27_8.wav
data\el_es\el\20090402-0900-PLENARY-2-el_es_20090402-09-08-04_1.wav	data\el_es\es\20090402-0900-PLENARY-2-el_es_20090402-09-08-04_1.wav
data\el_es\el\20090402-0900-PLENARY-2-el_es_20090402-09-08-04_2.wav	data\el_es\es\20090402-0900-PLENARY-2-el_es_20090402-09-08-04_2.wav
data\el_es\el\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_0.wav	data\el_es\es\20090402-0900-PLENARY-2-el_es_20090402-10-15-49_0.wav
